key,altitude,dist,hr,lat,lon,,,,,,,,,,,,temp
WI,350.0,0.8059729313658868,74.0,41.35741,0.4809,,,,,,,,,,,,10.1
WJ,141.0,0.4865134410513823,52.0,41.1223,0.72182,,,,,,,,,,,,14.4
WK,268.0,0.9399778350312069,93.0,41.81949,0.57768,,,,,,,,,,,,7.6
WL,413.0,0.7920214881114012,90.0,41.57236,1.0882,,,,,,,,,,,,7.1
WM,1167.0,0.9111369474342711,51.0,42.10736,1.8267,,,,,,,,,,,,12.1
WN,916.0,0.6802368011611253,68.0,41.59539,1.83751,,,,,,,,,,,,9.6
WO,185.0,0.28410514016019994,47.0,41.27151,1.46717,,,,,,,,,,,,17.4
WP,325.0,0.5872107446900494,52.0,41.48518,1.69337,,,,,,,,,,,,14.3
WQ,1572.0,0.966052506008831,60.0,42.0513,0.72952,,,,,,,,,,,,9.8
WR,300.0,0.5318041498439079,53.0,41.2163,0.79748,,,,,,,,,,,,15.1
WS,953.0,0.6196620802298802,46.0,41.84008,2.41877,,,,,,,,,,,,14.3
WT,2.0,0.017529889053857328,80.0,41.64707,2.75658,,,,,,,,,,,,14.4
WU,42.0,0.02401423420351656,66.0,41.45215,2.24757,,,,,,,,,,,,13.8
WV,788.0,0.9357049804430758,37.0,42.23414,1.87485,,,,,,,,,,,,15.2
WW,278.0,0.7499668092589771,66.0,41.79423,1.9368,,,,,,,,,,,,12.7
WX,668.0,0.9409387931252103,81.0,41.9178,0.88175,,,,,,,,,,,,7.6
WY,164.0,0.4825571858913281,53.0,41.43386,1.79429,,,,,,,,,,,,16.3
WZ,17.0,0.003839811531863302,57.0,41.20187,1.63346,,,,,,,,,,,,15.9
X1,359.0,0.42767046488808713,57.0,41.15374,0.81953,,,,,,,,,,,,13.3
X2,7.0,0.026745839472541943,53.0,41.38943,2.18847,,,,,,,,,,,,16.9
X3,370.0,0.927092804840811,94.0,41.74281,0.5358,,,,,,,,,,,,6.3
X4,33.0,0.05763317026178216,50.0,41.3839,2.16775,,,,,,,,,,,,16.9
X5,1055.0,0.602916931829026,42.0,40.79705,0.31822,,,,,,,,,,,,13.4
X6,366.0,0.9346632207999067,97.0,41.92173,1.02901,,,,,,,,,,,,6.0
X7,215.0,0.8562039114643637,89.0,41.51909,0.55314,,,,,,,,,,,,8.2
X8,79.0,0.16396694481982743,44.0,41.37919,2.1054,,,,,,,,,,,,17.2
X9,176.0,0.43227559924658054,43.0,41.61265,2.16836,,,,,,,,,,,,17.6
XA,785.0,0.7629755589280646,78.0,41.60257,1.4007,,,,,,,,,,,,8.7
XB,589.0,0.6173787326303453,49.0,41.47948,1.53528,,,,,,,,,,,,13.4
XC,147.0,0.47052007363915493,49.0,41.47892,1.97546,,,,,,,,,,,,16.9
XD,687.0,0.6247898181065019,54.0,41.32,0.8857,,,,,,,,,,,,11.9
XE,5.0,0.02853229624886333,41.0,41.10393,1.201,,,,,,,,,,,,18.8
XF,258.0,0.4545723579255707,46.0,41.56568,2.06952,,,,,,,,,,,,17.1
XG,123.0,0.30688340623819177,39.0,41.56734,2.22619,,,,,,,,,,,,18.2
XH,679.0,0.9849680405738123,34.0,42.40533,1.12993,,,,,,,,,,,,15.0
XI,247.0,0.8526789564783464,82.0,41.61817,0.87182,,,,,,,,,,,,7.7
XJ,72.0,0.5785327296773162,49.0,41.98223,2.80686,,,,,,,,,,,,18.1
XK,1668.0,0.5263601600502666,56.0,41.77362,2.43774,,,,,,,,,,,,9.0
XL,8.0,0.1459236776074656,48.0,41.34045,2.08022,,,,,,,,,,,,18.0
XM,235.0,0.8608208649661313,94.0,41.59522,0.73507,,,,,,,,,,,,6.5
XN,89.0,0.8625511435778032,76.0,41.46379,0.42765,,,,,,,,,,,,10.4
XO,499.0,0.7649011048044954,51.0,41.93497,2.23987,,,,,,,,,,,,15.0
XP,349.0,0.6646036215831335,57.0,41.06581,0.43006,,,,,,,,,,,,12.6
XQ,473.0,0.9725390775966671,51.0,42.16252,0.88814,,,,,,,,,,,,12.6
XR,928.0,0.5820149497748214,51.0,41.31481,0.98161,,,,,,,,,,,,10.6
XS,162.0,0.5064633964725846,46.0,41.86489,2.66446,,,,,,,,,,,,17.7
XT,691.0,0.9240067194373042,54.0,41.98766,1.51165,,,,,,,,,,,,13.4
XU,148.0,0.20527415846393438,51.0,41.28801,1.72195,,,,,,,,,,,,18.0
XV,158.0,0.34892031185231953,48.0,41.48311,2.07956,,,,,,,,,,,,16.6
XW,165.0,0.8731097644579824,93.0,41.59822,0.64855,,,,,,,,,,,,6.7
XX,291.0,0.8606856597699867,86.0,41.68835,1.04476,,,,,,,,,,,,7.7
XY,122.0,0.8743638494400477,87.0,41.56509,0.55027,,,,,,,,,,,,7.9
XZ,6.0,0.13113173425266023,66.0,42.18179,3.06156,,,,,,,,,,,,16.0
Y4,1162.0,0.9579088090576141,39.0,42.17426,1.42775,,,,,,,,,,,,12.3
Y5,152.0,0.46403483008818125,44.0,42.22793,2.86295,,,,,,,,,,,,17.5
Y6,317.0,0.3668953387125451,59.0,41.04343,0.74032,,,,,,,,,,,,12.4
Y9,4.0,0.009022549928338952,44.0,41.31723,2.13091,,,,,,,,,,,,17.4
YA,1213.0,0.9505584712880395,37.0,42.44013,1.93482,,,,,,,,,,,,14.8
YB,433.0,0.7975826027416575,36.0,42.18813,2.47097,,,,,,,,,,,,17.2
YC,508.0,0.9777292567550842,46.0,42.24388,0.96802,,,,,,,,,,,,12.9
YD,283.0,0.7976350533694965,82.0,41.51135,0.85617,,,,,,,,,,,,8.8
Z1,2266.0,0.993697744730038,50.0,42.64691,0.98486,,,,,,,,,,,,5.6
Z2,2535.0,0.9896414579299353,35.0,42.46602,0.88405,,,,,,,,,,,,7.9
Z3,2230.0,0.9663082162796759,46.0,42.46605,1.7785,,,,,,,,,,,,7.2
Z5,2400.0,0.9901048698418484,59.0,42.70029,1.27201,,,,,,,,,,,,4.1
Z6,2228.0,0.996479476092947,55.0,42.77011,0.73198,,,,,,,,,,,,4.8
Z7,2519.0,0.9905258254096303,49.0,42.53412,1.05476,,,,,,,,,,,,5.5
Z8,2316.0,0.9520112246769264,53.0,42.18254,1.52407,,,,,,,,,,,,4.7
Z9,2143.0,0.9547886313494557,58.0,42.29265,1.71498,,,,,,,,,,,,5.9
ZB,2451.0,0.9847055428899189,53.0,42.51939,1.36597,,,,,,,,,,,,4.5
ZC,2410.0,0.8936656575224158,61.0,42.42117,2.24565,,,,,,,,,,,,3.0
ZD,2478.0,0.9492746558966121,75.0,42.32211,1.89716,,,,,,,,,,,,1.4
